City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,ayancik,41.9447,34.5861,53.67,72,97,9.51,TR,1700370084
218,oruro,-17.9833,-67.15,53.33,17,67,12.44,BO,1700370085
219,choele choel,-39.2667,-65.6833,57.0,43,0,22.68,AR,1700370086
220,debark',13.1561,37.8981,55.56,76,99,2.62,ET,1700370086
221,sanctuary point,-35.1114,150.629,81.19,58,23,19.64,AU,1700370087
222,lionel town,17.8101,-77.2406,82.29,89,92,4.41,JM,1700370087
223,firmat,-33.4594,-61.4832,57.9,31,17,8.08,AR,1700370088
224,jayapura,-2.5333,140.7,92.59,74,67,11.5,ID,1700370088
225,meijel,51.3443,5.8855,55.96,91,80,19.19,NL,1700370089
226,bodaybo,57.8506,114.1933,25.95,88,100,2.33,RU,1700370089
227,hami,42.8,93.45,43.93,31,5,3.2,CN,1700370090
228,rio do sul,-27.2142,-49.6431,65.08,92,58,1.52,BR,1700370090
229,sinan,34.8262,126.1086,59.11,64,5,20.11,KR,1700370091
230,gao,16.6362,1.637,70.52,17,14,12.41,ML,1700370091
231,yuzhno-kurilsk,44.0306,145.8556,42.37,84,94,28.92,RU,1700370092
232,coquimbo,-29.9533,-71.3436,56.93,94,0,2.3,CL,1700370093
233,san luis,-33.295,-66.3356,62.47,35,46,7.58,AR,1700370093
234,college,64.8569,-147.8028,7.12,83,100,3.44,US,1700370094
235,kincardine,56.0667,-3.7167,51.93,95,100,13.4,GB,1700370096
236,mhamid,29.82,-5.72,61.14,25,1,4.94,MA,1700370096
237,puerto colombia,10.9878,-74.9547,78.89,92,100,12.26,CO,1700370098
238,barra de santo antonio,-9.4047,-35.5072,72.68,87,7,7.63,BR,1700370098
239,moranbah,-22.0016,148.0466,92.89,27,58,19.01,AU,1700370099
240,longyearbyen,78.2186,15.6401,-4.22,92,76,3.15,SJ,1700370099
241,lagunas,-5.2269,-75.6753,81.52,62,57,2.17,PE,1700370100
242,makokou,0.5738,12.8642,69.35,100,93,2.48,GA,1700370102
243,sade,11.3595,10.6732,67.03,24,94,9.01,NG,1700370102
244,tolanaro,-25.0319,46.9987,78.87,83,20,16.11,MG,1700370103
245,port douglas,-16.4833,145.4667,80.74,63,24,7.0,AU,1700370104
246,traverse city,44.7631,-85.6206,46.6,86,0,5.75,US,1700369890
247,antofagasta,-23.65,-70.4,61.88,88,25,1.5,CL,1700370049
248,kashgar,39.4547,75.9797,45.61,36,20,4.47,CN,1700370105
249,ust-nera,64.5667,143.2,-13.47,100,97,0.22,RU,1700370106
250,baiti,13.745,-14.7482,75.2,52,61,6.76,SN,1700370106
251,hasaki,35.7333,140.8333,66.6,41,3,7.52,JP,1700370108
252,san miguel de cauri,-10.1,-76.5833,46.22,89,99,0.83,PE,1700370109
253,kiunga,-6.1219,141.2906,84.29,77,99,3.47,PG,1700370109
254,mount pearl,47.5166,-52.7813,52.84,94,100,25.32,CA,1700370110
255,mount darwin,-16.7725,31.5838,77.63,39,0,5.14,ZW,1700370110
256,anupgarh,29.1911,73.2086,75.45,26,0,5.7,IN,1700370112
257,hit,33.6416,42.8251,65.44,56,0,14.67,IQ,1700370113
258,isangel,-19.55,169.2667,78.91,74,74,10.8,VU,1700370114
259,iskateley,67.6803,53.1512,5.02,97,57,8.01,RU,1700370114
260,eforie sud,44.0229,28.6494,36.81,91,100,41.18,RO,1700370115
261,kerikeri,-35.2268,173.9474,70.92,87,55,3.0,NZ,1700370115
262,geneina,13.45,22.45,66.02,25,100,13.53,SD,1700370115
263,smara,26.7384,-11.6719,66.6,23,0,5.91,EH,1700370116
264,chibougamau,49.9168,-74.3659,22.62,100,100,4.61,CA,1700370116
265,tortoli,39.9256,9.6572,56.32,74,11,4.74,IT,1700370117
266,leesville,31.1435,-93.261,53.42,73,64,4.47,US,1700370118
267,pimentel,-6.8367,-79.9342,68.29,77,0,14.97,PE,1700370118
268,cuajinicuilapa,16.4667,-98.4167,77.4,92,16,3.04,MX,1700370118
269,merizo village,13.2658,144.6691,86.58,88,88,15.26,GU,1700370119
270,ust'-kulom,61.6864,53.6902,18.3,91,100,7.4,RU,1700370119
271,buala,-8.145,159.5921,84.78,73,30,8.32,SB,1700370120
272,nizhniy odes,63.6445,54.856,13.59,95,99,7.72,RU,1700370120
273,conception bay south,47.4999,-52.9981,53.44,94,100,24.49,CA,1700370088
274,toyooka,35.5333,134.8333,59.05,47,40,2.3,JP,1700370121
275,la'ie,21.6477,-157.9253,78.76,72,99,3.91,US,1700369918
276,fort stockton,30.894,-102.8793,60.85,82,0,17.27,US,1700370122
277,georgetown,5.4112,100.3354,87.75,66,20,10.36,MY,1700370017
278,sur,22.5667,59.5289,78.17,64,0,3.0,OM,1700370123
279,long beach,33.767,-118.1892,65.88,93,75,3.44,US,1700369828
280,sol'tsy,58.1239,30.3238,22.03,96,100,3.18,RU,1700370124
281,fort bragg,35.139,-79.006,55.49,67,0,4.61,US,1700370124
282,fortuna,40.5982,-124.1573,53.94,93,75,0.0,US,1700370125
283,urangan,-25.3,152.9,74.23,69,100,11.39,AU,1700370125
284,latnaya,51.6586,38.9011,28.33,79,53,8.95,RU,1700370125
285,tobelo,1.7284,128.0095,83.97,73,75,3.0,ID,1700370126
